genre,title,content
想い,想いを語ることの大切さ,"## 想いを語ることの大切さ
どうも、神里です。
今回は、自分の想いを語るということの大切さについて。

さて、世の中には稼ぎたくてしょうがない人が多いですね。
もちろん、僕も稼ぎたいわけですが、
ちょっと僕とは違うベクトルに向かっている人も多いです。

人に対して価値提供をせず、
すぐに他人のお金を奪おうとする。
これ、やっても絶対稼げないんですよ。

人から信頼を得ていない時点で、
その人の持っているお金をもらおうとしても、
絶対に無理なわけです。

だって、どこの誰かもわからない
好きにもなれない人から

「お金ちょーだい」

なんて言われたら

「あげるわけあるかwwwどういう思考回路してんねんwww」

ってなるわけです。

でも、ネット上だとそれをやっちゃってる
人が大勢います。

みんな、自分がビジネスをする側に回ると忘れちゃうわけです。

正直にいうと、僕はお金を稼ぎたいです。
でも、お客様からいきなり奪おうとは思いません。

目一杯価値提供して、
それでちょっと戻ってきたらいいなと思っています。

自分を正当化するようでちょっとキモい
内容になっていますが、

僕がそう思えたのは、ビジネスを始めた頃
周りにGIVEの精神を持った人たちがたくさんいたからです。

知り合いに優れた人がいるというのは、
もうそれだけでとてつもない宝なんですよ。

、、、で、ちょっと話はズレましたが、
いきなり人からお金を奪おうとするのはやめましょう。

まずは信頼を得る。
そのための情報発信をする。

そして、信頼を得るために大切なのが、
ただひたすら事実を述べるだけでなく、
自身の価値観を織り交ぜて発信することです。

そこにきちんと想いがあれば、
人は勝手に共感してくれます。

僕は声を大にして

「アラサーでもプログラマーになれる」

といっています。

そうすると、その想いに共感してくれる人たちが
勝手に集まってくれるわけです。

もちろん、
僕はお金を稼ぐために適当に言っているつもりもないし、
本気でアラサーからプログラマーになることは可能だと思っています。

ちゃんと手順を踏めば、
手を動かすことさえできれば、
誰でもプログラマーになることができると思ってます。

これはもう、マジで本気です。
だって、実際に僕はプログラマーなれてるし
フリーランスとして独立することだってできてます。

こういうことを発信してきたおかげで、
サロンでもマンツーマンレッスンでも申し込みが絶えない
ようになりました。

想いを発信するというのは、
そのくらい価値のあることで、
誰かを救うことに繋がるんです。

だから、もしあなたがお金を稼げるようになりたい
と思うのであれば、何よりも強い想いを持ってください。

そして、それをただひたすら発信しましょう。
そうすれば、きっと共感してくれる人がいます。
信頼してくれる人がいます。

そしたら、その中から1人2人とあなたにお金を払ってでも
学びを得たいと思う人が現れるでしょう。

その時初めて、提供する価値に見合うだけの
お金をいただけばいいんです。

焦りすぎてはダメです。
まずは、何が何でも価値提供しましょう。

無料教材作れば、みんな喜んで受け取ってくれますよ。
そしたら、単純に嬉しくないですか？
自分が作った教材で目の前の人が喜んでくれたら？

それをひたすら継続していってください。
そうすれば、きっと将来は楽になるから。

追伸
良かったら感想をください。
少しのアウトプットが成長につながります。"
インプット,インプットのコツ,"## インプットのコツ
どうも、神里です。自分が今以上に成長したいと考えたとき、あなただったらまず最初に何をやりますか？

多くの人は、本を読んだり友達に聞いたりして、知識を集めようとするのではないでしょうか？

もちろん、それは素晴らしいことです。ただ、学んだものを自分の中に取り込もうとするだけだと、どうしても吸収力に限界がきてしまいます。

大切なのは、アウトプット前提のインプットをすること。僕は大体、本を読むときは近くにスマホを置いています。そして、新たな気づきがあればすぐにTwitterでシェアします。

そうやって学んだことをすぐにアウトプットすると、思考が整理され、より深く物事を理解できるようになるのです。

それを1年、2年と積み重ねると、段々と学んだことが自分の血肉となり、活きたノウハウに変わります。そして、指数関数的に成長スピードが上がるようになります。

今よりもさらに良い結果を残そうと思ったら、勉強は死ぬほど大事です。これが全てと言っても過言ではない。ただ、学び方を間違うと全てが無駄になってしまいます。

まずは、アウトプットする意識をしっかりと持ちましょう。そうしないと、ただのノウハウコレクターで終わってしまいます。

あとは、どういう対象から学びを得るかというのもすごく大事な要素です。いい情報を発信しているものを貪欲に探してください。

特に、自分のロールモデルとなる人を見つけたら、徹底的にストーキングしましょう。

その人の発信内容は全て網羅し、何度も何度も読み返し、気づいたことは即アウトプットする。

それを繰り返すと、だんだんその人と同じ価値観を持てるようになります。だから、自分もだんだんと成果を残せるようになる。

「アウトプット前提のインプット」

これが最も最短で成長できる方法です。ぜひ、自分のロールモデルを見つけてこれを実践してみてください。

今の時代、ちょっとググれば自分が理想とする生き方を体現している人はすぐ見つかります。その人を見つけるだけでも、人生はだいぶ変わりますよ。"
転職活動,Webマーケの役員面談を受けて,"## Webマーケの役員面談を受けて
どうも、神里です。
僕は昨日、役員面談を受けていました。

「えっ？」って思う人いるかもしれませんけど、
3つ目の会社ですね笑

今回はWebマーケターとしてWANTEDLY VISITで応募したのですが、
そしたら色々すっとばしていきなり役員面談からはじまりました。

その面談の中で、
まずは社長さんの熱い思いを聞きます。

これがとにかく熱くて、熱くて、そして熱かったです。
もう、これぞ起業家って感じでした。

この時点で、僕からするととても好感が持ててました。

「あぁ、色々力になりたいな」と。

で、一通りお話を聞いた後、
僕も色々とビジネスモデルに対してアドバイスしました。

インスタでフォロワー多い人はこんなことしてるよ〜
ブログでは事実と自分の思いを織り交ぜるといいよ〜
メルマガでリストをとって濃いファンを作るといいよ〜

みたいな。

そして、ひととおり僕から見た改善点を伝え、
ネットの力を活用すれば、一人勝ちできるということも伝えました。

そのくらいポテンシャルのある企業で、
ぼくはそこに魅力を感じたわけです。

Webマーケやったらめちゃめちゃ楽しそうだなと。

そして、色々と自分ができる限りのアドバイスをし終わったら、
なんとその場で採用が決まりました笑

「まじかぁ〜、さすがに即決だとわ思わんかったぁ〜」ってなりました笑

おもしろそうなので、僕はまた違う会社でも
働くことになります。

これで、働く会社は3つになりました。

具体的にいつから出勤かはまだきまってませんが、
ぼくはこちらの企業を最優先していきたいと思います。

そのくらい、社長さんの熱意が凄まじかった。

僕の手で、もっともっと会社を大きくできたら楽しいですね。
貢献できるように頑張らねば。

というわけで、これから情報発信の教材作成に力を入れていきます。
それまとめて社内に展開すれば、自動で人材そだれられそうなので。

これからどんどん効率化に注力していけるといいですね。
そのために作業むっちゃ頑張ります。

今後の展開を楽しみにしておいてください。
ではでは。

追伸
良かったら感想をください。
少しのアウトプットが成長につながります。"
プログラミング学習,プログラミングの学習期間について,"## プログラミングの学習期間について
どうも、神里です。
今日はプログラミングの学習期間について。

これに関しては、色々な情報がありますよね。

「少なくとも半年は必要だ」

とか

「1〜2ヶ月やれば充分だよ」

とか。

もちろん人によって習得速度は違うし、
学習内容も変わってきます。

ただ、これから将来のある学生と転職を決意したアラサーは、本当に同じスケジュールで勉強を進めても良いのでしょうか？

正直、学生はプログラミングの学習に3〜4年かけても全然いいと思ってます。

勉強に時間をかければ、その分知識も定着しますからね。

ただ、アラサーがその感覚では非常に困ります。

1年勉強に時間をかけるだけで、転職するチャンスはどんどん減っていきます。

もちろん、僕自身も何歳になろうがプログラマーへの挑戦はできると思ってます。

年齢なんてただの数字ですからね。

しかし、そうは言っても歳をとればチャンスが減るのはまぎれもない事実です。

ダラダラやっても転職出来なければ意味はありません。

「プログラミングをやるなら半年で結果を出す」

そのくらいの覚悟はあって当たり前だと思ってます。

一生懸命、毎日手を動かせばきっと結果が出たはずなのに、残念ながらそれが出来ない人があまりにも多いです。

アラサーからせっかく挑戦したのに、それじゃ本当にもったいないですよね。

若い人に比べてハンデがある分、アラサーは必死になってやらなきゃいけないんですよ。

多少辛いのは当たり前です、だって人生かかってるんだから。

あなたの大切な時間が無駄に終わってしまうのは本当にもったいないし、僕もみててとても悲しくなります。

だから、挑戦すると決めたら半年間必死に頑張る。

それが出来なそうなら挑戦はしない。

アラサーからプログラマーに挑戦するなら、そのくらいしっかりと考えた方が良いです。

実際、一生懸命やれば本当に半年くらいで転職できるレベルになれますよ。

ちゃんとした環境で、仲間やメンターに恵まれれば決して難しくはありません。

なので、挑戦するのであればぜひ覚悟を決めてみてください。

その意識の違いで、転職できるかどうかが変わってきますよ。

ぜひ、お互い良い人生を歩めるように頑張りましょう(^^)

ちなみに、僕はプログラマーになってから人生変わりました。

いまは、自由な働き方を思い切り楽しんでます。

あなたにもぜひ、この楽しさを味わっていただけたら良いなと思ってます。"
